file,#,description,eif,value,income-type,income-amount
Ivanka Trump NE278e,,,,,,AMOUNT
Ivanka Trump NE278e,13.1,Fidelity Overseas Fund (FOSFX),Yes,"$50,001 - $100,000",,None (or less than $201)
Ivanka Trump NE278e,13.2,Fidelity Growth Company (FDGRX),Yes,"$50,001 - $100,000",,None (or less than $201)
Ivanka Trump NE278e,13.3,Fidelity Value Fund (FDVLX),Yes,"$50,001 - $100,000",,None (or less than $201)
Ivanka Trump NE278e,13.4,Fidelity Dividend Growth Fund (FDGFX),Yes,"$50,001 - $100,000",,None (or less than $201)
Ivanka Trump NE278e,13.5,Fidelity Freedom 2040 Fund (FFFFX),Yes,"$50,001 - $100,000",,None (or less than $201)
Ivanka Trump NE278e,14,Screen Actors Guild - Producers Pension Plan (defined benefit pension plan - value not readily ascertainable),N/A,,,None (or less than $201)
Ivanka Trump NE278e,15,Universal City Studios LLC (Residuals from appearances on Saturday Night Live and Late Night with Jimmy Fallon),N/A,"None (or less than $1,001)",Rent or Royalties,"$201 - $1,000"
Ivanka Trump NE278e,16,MGM/Mark Burnett Productions (Residuals from The Apprentice) (value not readily ascertainable),N/A,,,None (or less than $201)
Kushner NE278e,,,,,,AMOUNT
Kushner NE278e,1,"Westminster Management, LLC (Management company; New York, NY)",N/A,"$1,000,001 - $5,000,000","Gross Management Fee Income, Wages, and Dividends","$1,593,457"
Kushner NE278e,2,"OBSERVER MEDIA, LLC (New York Observer & Commercial Observer; New York, NY)",N/A,"None (or less than $1,001)",Newspaper- Related Revenue,"$4,500,000"
