file,#,description,eif,value,income-type,income-amount
Kushner NE278e,4.14,"65 BAY, LLC (f/k/a GAIA JC, LLC) (Residential Real Estate in Jersey City, NJ)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$15,001 - $50,000"
Kushner NE278e,4.15,"K ONE JOURNAL SQUARE, LLC (Undeveloped Real Estate in Jersey City, NJ)",N/A,"None (or less than $1,001)",Capital Gains,"$1,000,001 - $5,000,000"
Kushner NE278e,4.16,"KC DUMBO HOTEL, LLC (Option to Purchase Commercial Real Estate in Brooklyn, NY)",N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,,,,,,AMOUNT
Kushner NE278e,4.17,"KC DUMBO OFFICE, LLC (Commercial Real Estate in Brooklyn, NY)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$50,001 - $100,000"
Kushner NE278e,4.18,"KF MIDDLE RIVER, LLC (Residential Real Estate in Middle River & Essex, MD)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$100,001 - $1,000,000"
Kushner NE278e,4.19,"KF WESTWOOD PARTNER, LLC (Residential Real Estate in Westwood & River Vale, NJ)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$100,001 - $1,000,000"
Kushner NE278e,4.20,"KF-BLS MEMBER, LLC (Residential Real Estate in Brooklyn, NY)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$50,001 - $100,000"
Kushner NE278e,4.21,"PUCK BUILDING, LP (Commercial Real Estate in New York, NY)",N/A,"$5,000,001 - $25,000,000",Rent or Royalties,"$100,001 - $1,000,000"
Kushner NE278e,4.22,"ROUTE 10 ASSOCIATES, LLC (Industrial Real Estate in Whippany, NJ)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
Kushner NE278e,4.23,"STATE TOWER OF SYRACUSE ASSOCIATES, LLC (Residential Real Estate in Leonia, NJ)",N/A,"$50,001 - $100,000",Rent or Royalties,"$15,001 - $50,000"
Kushner NE278e,4.24,"TIMES SQUARE ASSOCIATES, LLC (Commercial Real Estate in New York, NY)",N/A,"$5,000,001 - $25,000,000",Rent or Royalties,"$1,000,001 - $5,000,000"
Kushner NE278e,4.25,"WARREN AT BAY ASSOCIATES, LLC (Commercial Real Estate in Jersey City, NJ)",N/A,"$100,001 - $250,000",Rent or Royalties,"$2,501 - $5,000"
Kushner NE278e,4.26,"WT 25 COLUMBIA, LLC (Real Estate Under Construction in Brooklyn, NY)",N/A,"$250,001 - $500,000",,None (or less than $201)
Kushner NE278e,4.27,"115 EAST 87, LLC (Contingent right to ownership interest in Residential Real Estate in New York, NY)",N/A,"$250,001 - $500,000",,None (or less than $201)
Kushner NE278e,4.28,"80 ML, LLC (Commercial Real Estate in New York, NY)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
Kushner NE278e,4.29,"KF-WIP CO. INVESTORS I, LLC (Industrial Real Estate in Middletown, PA)",N/A,"$15,001 - $50,000",Rent or Royalties,"$50,001 - $100,000"
Kushner NE278e,4.30,"KKC ASSOCIATES, LLC (Residential Real Estate in Kansas City, MO)",N/A,"$1,001 - $15,000",,None (or less than $201)
Kushner NE278e,4.31,"STONE 16 ASSOCIATES, LLC (Residential Real Estate in New York, NY)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$50,001 - $100,000"
Kushner NE278e,4.32,"P.V. DEVELOPMENT, LLC (Undeveloped Real Estate in Long Branch, NJ)",N/A,"$500,001 - $1,000,000",Interest,"$1,001 - $2,500"
Kushner NE278e,,,,,,AMOUNT
Kushner NE278e,4.33,"FLATBUSH 340 LENDER, LLC (Loan Receivable from 9 Dekalb Owner LLC; Brooklyn, NY)",N/A,"$250,001 - $500,000",Interest,"$100,001 - $1,000,000"
Kushner NE278e,4.34,"KCOF-215 MOORE, LLC (Loan Receivable from Heritage Equities; Brooklyn, NY)",N/A,"$100,001 - $250,000",Interest,"$100,001 - $1,000,000"
Kushner NE278e,4.35,"OBSERVER CAPITAL SM SPV, LLC (Shares of Corp. Stock in Source Media Holdings Inc.; New York, NY)",N/A,"$5,000,001 - $25,000,000",,None (or less than $201)
Kushner NE278e,4.36,"OC PARTNERS, LLC (Cash; New York, NY)",N/A,"None (or less than $1,001)",Capital Gains,"$1,000,001 - $5,000,000"
Kushner NE278e,4.37,"BRUCKNER P CORP. (Commercial Real Estate in New York, NY)",N/A,"None (or less than $1,001)",Rent or Royalties Capital Gains,"Over $5,000,000"
Kushner NE278e,4.38,"BRUCKNER PLAZA CENTER, LLC (Commercial Real Estate in New York, NY)",N/A,"None (or less than $1,001)",Rent or Royalties Capital Gains,"Over $5,000,000"
Kushner NE278e,4.39,"FIFTH ASSOCIATES, LLC (Commercial Real Estate in New York, NY)",N/A,"None (or less than $1,001)",Rent or Royalties Capital Gains,"Over $5,000,000"
Kushner NE278e,4.40,"CK REALTY HOLDINGS, LLC (Commercial Real Estate in New York, NY and Wippany, NJ)",N/A,"None (or less than $1,001)",Rent or Royalties Capital Gains,"Over $5,000,000"
Kushner NE278e,4.41,"29 Second Avenue Realty, LLC (Residential Real Estate in New York, NY)",N/A,"None (or less than $1,001)",Capital Gains Rent or Royalties,"$15,001 - $50,000"
Kushner NE278e,4.42,"KFF 29 SECOND AVENUE, LLC (Residential Real Estate in New York, NY)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
Kushner NE278e,5,Trust #5,No,,,
Kushner NE278e,5.1,"BRYNWOOD GARDENS (Residential Real Estate in Old Bridge, NJ)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
Kushner NE278e,5.2,"CHERRY PINES APARTMENTS (Residential Real Estate in Elizabeth, NJ)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
Kushner NE278e,5.3,"COLONIAL HEIGHTS, LLC (Residential Real Estate in Parsippany, NJ)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$100,001 - $1,000,000"
Kushner NE278e,,,,,,AMOUNT
Kushner NE278e,5.4,"DARTMOUTH VILLAGE, LLC (Residential Real Estate in Parsippany, NJ)",N/A,"$250,001 - $500,000",Rent or Royalties,"$15,001 - $50,000"
Kushner NE278e,5.5,"EASTON NORTH ASSOCIATES, LP (Residential Real Estate in Franklin Township, NJ)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$50,001 - $100,000"
Kushner NE278e,5.6,"FELMORE ASSOCIATES (Residential Real Estate in South River, NJ)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
Kushner NE278e,5.7,"FIVE ACRE JV (Industrial Real Estate in Union, NJ)",N/A,"$1,001 - $15,000",Rent or Royalties,"$2,501 - $5,000"
Kushner NE278e,5.8,"KAY & ARR REALTY ASSOCIATES (Residential Real Estate in Elizabeth, NJ)",N/A,"$15,001 - $50,000",Rent or Royalties,"$5,001 - $15,000"
Kushner NE278e,5.9,"LMP JV (Industrial Real Estate in Edison, NJ)",N/A,"$50,001 - $100,000",Rent or Royalties,"$5,001 - $15,000"
Kushner NE278e,5.10,"LODI PHILLIPSBURG APARTMENT ASSOCIATES (Residential Real Estate in Lodi, NJ)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
Kushner NE278e,5.11,"MARTHA BELL ASSOCIATES, LLC (Residential Real Estate in Elizabeth, NJ)",N/A,"$50,001 - $100,000",Rent or Royalties,"$5,001 - $15,000"
Kushner NE278e,5.12,"MT. PLEASANT JV (Commercial Real Estate in West Orange, NJ)",N/A,"$1,001 - $15,000",Rent or Royalties,"$5,001 - $15,000"
Kushner NE278e,5.13,"NETCONG HEIGHTS ASSOCIATES, LLC (Residential Real Estate in Netcong, NJ)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$50,001 - $100,000"
Kushner NE278e,5.14,"OXFORD ARMS ASSOCIATES LIMITED PARTNERSHIP (Residential Real Estate in Edison, NJ)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$100,001 - $1,000,000"
Kushner NE278e,5.15,"PARK LAKE VILLAGE (Residential Real Estate in Parsippany, NJ)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$50,001 - $100,000"
Kushner NE278e,5.16,"PARK LANE MOBILE HOME PARK (Residential Real Estate in Union, NJ)",N/A,"$50,001 - $100,000",Rent or Royalties,"$2,501 - $5,000"
Kushner NE278e,5.17,"PINEFIELD MANOR, LLC (Residential Real Estate in Denville, NJ)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
Kushner NE278e,5.18,"PRINCETON HORIZON APARTMENTS (Residential Real Estate in South Brunswick, NJ)",N/A,"$250,001 - $500,000",Rent or Royalties,"$50,001 - $100,000"
Kushner NE278e,,,,,,AMOUNT
Kushner NE278e,5.19,"RIVER EDGE APARTMENTS (Residential Real Estate in Ewing, NJ)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$100,001 - $1,000,000"
Kushner NE278e,5.20,"SKYTOP GARDENS (Residential Real Estate in Sayreville, NJ)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$50,001 - $100,000"
Kushner NE278e,5.21,"TAYLOR EDISON JV (Industrial Real Estate in Edison, NJ)",N/A,"$15,001 - $50,000",Rent or Royalties,"$1,001 - $2,500"
Kushner NE278e,5.22,"THE PINES APARTMENTS (Residential Real Estate in Elizabeth, NJ)",N/A,"$50,001 - $100,000",Rent or Royalties,"$5,001 - $15,000"
Kushner NE278e,5.23,"TOV MANOR ASSOCIATES, LP (Residential Real Estate in New Brunswick, NJ)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$50,001 - $100,000"
Kushner NE278e,5.24,"WESTFIELD JV (Commercial Real Estate in Westfield, NJ)",N/A,"$1,001 - $15,000",Rent or Royalties,"$5,001 - $15,000"
Kushner NE278e,5.25,"SCHOOLHOUSE JV (Commercial Real Estate in Milburn, NJ)",N/A,"$1,001 - $15,000",Rent or Royalties,"$2,501 - $5,000"
Kushner NE278e,6,Trust #6,No,,,
Kushner NE278e,6.1,"200 EAST 62ND 25A, LLC (Residential Real Estate in New York, NY)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
Kushner NE278e,6.2,"200 EAST 62ND 25B, LLC (Residential Real Estate in New York, NY)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
Kushner NE278e,6.3,"200 EAST 62ND 26D, LLC (Residential Real Estate in New York, NY)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
Kushner NE278e,6.4,"212 5TH 7C, LLC (Residential Real Estate in New York, NY)",N/A,"$100,001 - $250,000",,None (or less than $201)
Kushner NE278e,6.5,"212 5TH 8C, LLC (Residential Real Estate in New York, NY)",N/A,"$100,001 - $250,000",,None (or less than $201)
Kushner NE278e,6.6,"212 5TH 9C, LLC (Residential Real Estate in New York, NY)",N/A,"$100,001 - $250,000",,None (or less than $201)
Kushner NE278e,7,Trust #7,No,,,
Kushner NE278e,7.1,"Lincoln National Life Insurance Company, Variable Life",No,,,
Kushner NE278e,7.1.1,SSGA Bond Index Fund,Yes,"$100,001 - $250,000",,None (or less than $201)
Kushner NE278e,,,,,,AMOUNT
Kushner NE278e,7.1.2,JPMorgan High Yield Fund,Yes,"$15,001 - $50,000",,None (or less than $201)
Kushner NE278e,7.1.3,Delaware Diversified Floating Rate Fund,Yes,"$15,001 - $50,000",,None (or less than $201)
Kushner NE278e,7.1.4,Delaware VIP REIT Series,Yes,"$50,001 - $100,000",,None (or less than $201)
Kushner NE278e,7.1.5,Dimensional International Core Equity Fund,Yes,"$100,001 - $250,000",,None (or less than $201)
Kushner NE278e,7.1.6,Dimensional U.S. Core Equity 2 Fund,Yes,"$250,001 - $500,000",,None (or less than $201)
Kushner NE278e,8,"55 CHALLENGER ROAD ASSOCIATES, LLC (Commercial Real Estate in Ridgefield Park, NJ)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$1,000,001 - $5,000,000"
Kushner NE278e,9,"570 WEST MT. PLEASANT ASSOCIATES, LLC (Residential Real Estate in Livingston, NJ)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$100,001 - $1,000,000"
Kushner NE278e,10,"CHATHAM HILL ASSOCIATES, LLC (Residential Real Estate in Chatham, NJ)",N/A,"$1,001 - $15,000",Rent or Royalties,"$201 - $1,000"
Kushner NE278e,11,"GELLERT 80 WEST END, LLC (Residential and Commercial Real Estate in Long Branch, NJ and Astoria, NY)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$100,001 - $1,000,000"
Kushner NE278e,12,"K 30 JOURNAL Manager Corp. (Commercial Real Estate in Jersey City, NJ)",N/A,"$1,001 - $15,000",,None (or less than $201)
Kushner NE278e,13,"K MARYLAND ASSOCIATES, LLC (Residential Real Estate in Baltimore & Prince George’s County, MD)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$100,001 - $1,000,000"
Kushner NE278e,14,"KUSHNER MIDWEST PARTNERS 1 LLC (Residential Real Estate in Toledo, Middletown, Akron & Bedford Heights, OH, Pittsburgh, PA & Speedway, IN)",N/A,"$5,000,001 - $25,000,000",Rent or Royalties,"Over $5,000,000"
Kushner NE278e,15,"NEW PUCK CORP. (Commercial Real Estate in New York, NY)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$50,001 - $100,000"
Kushner NE278e,16,"TIMES SQUARE ASSOCIATES, LLC (Commercial Real Estate in New York, NY)",N/A,"$5,000,001 - $25,000,000",Rent or Royalties,"$1,000,001 - $5,000,000"
Kushner NE278e,,,,,,AMOUNT
Kushner NE278e,17,"411 WEST PUTNAM AVENUE (Commercial Real Estate in Greenwich, CT)",N/A,"$1,001 - $15,000",,None (or less than $201)
Kushner NE278e,18,"KUSHNER CREDIT OPPORTUNITY FUND, LLC (Management Company; New York, NY)",N/A,"$15,001 - $50,000",,None (or less than $201)
Kushner NE278e,19,"BFPS VENTURES, LLC (Holding Company; New York, NY)",No,"$5,000,001 - $25,000,000",Capital Gains Rent or Royalties Interest,"$1,000,001 - $5,000,000"
Kushner NE278e,19.1,U.S. bank account #2 (cash),N/A,"$100,001 - $250,000",,None (or less than $201)
Kushner NE278e,19.2,U.S. money market account #2 (cash),N/A,"$15,001 - $50,000",,None (or less than $201)
Kushner NE278e,19.3,"Quadro Partners (d/b/a Cadre) (Real Estate Investment Platform in New York, NY)",N/A,"$5,000,001 - $25,000,000",,None (or less than $201)
Kushner NE278e,19.4,"Kushner Village 2 Member LLC (Rental Apartments in New York, NY)",N/A,"None (or less than $1,001)",Capital Gains Rent or Royalties,"$100,001 - $1,000,000"
Kushner NE278e,19.5,"2 Rector Kushner Member LLC (Commercial Real Estate in New York, NY)",N/A,"None (or less than $1,001)",Capital Gains,"$1,000,001 - $5,000,000"
Kushner NE278e,19.6,Kaszek Ventures II (Venture Capital Fund),No,"None (or less than $1,001)",Capital Gains,"$1,001 - $2,500"
Kushner NE278e,19.7,Sixty Capital Fund (Hedge Fund),No,"None (or less than $1,001)",Dividends Interest Capital Gains,"$15,001 - $50,000"
Kushner NE278e,19.8,FabFitFun (Beauty and Wellness Subscription Service),N/A,"$15,001 - $50,000",,None (or less than $201)
Kushner NE278e,19.9,"JCK Cadre LLC (prior holding company for Quadro Partners; New York, NY)",N/A,"None (or less than $1,001)",Capital Gains,"$100,001 - $1,000,000"
Kushner NE278e,19.10,Contingent rights to ownership interests in entities holding real estate directly or indirectly (value not readily ascertainable) (entities listed in endnote),N/A,,,None (or less than $201)
Kushner NE278e,20,"BROADBAND PROLIFERATION PARTNERS, LLC (WiredScore; New York, NY)",N/A,"$5,000,001 - $25,000,000",Ordinary Business Income,"$4,500,000"
Kushner NE278e,,,,,,AMOUNT
Kushner NE278e,21,"REGAL BANK (Shares of Corp. Stock; Livingston, NJ)",N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,22,"JKM CAPITAL, LLC (interest in venture capital fund; New York, NY)",No,"None (or less than $1,001)",Capital Gains,"$100,001 - $1,000,000"
Kushner NE278e,23,"THRIVE PARTNERS II GP, LLC (interest in venture capital fund; New York, NY)",No,"None (or less than $1,001)",Capital Gains,"$1,000,001 - $5,000,000"
Kushner NE278e,24,"THRIVE PARTNERS III GP, LLC (interest in venture capital fund; New York, NY)",No,"None (or less than $1,001)",Capital Gains,"Over $5,000,000"
Kushner NE278e,25,"JK Thrive IV LLC (interest in venture capital fund; New York, NY)",No,"None (or less than $1,001)",Capital Gains,"$1,000,001 - $5,000,000"
Kushner NE278e,26,"JK Thrive V, LLC (interest in venture capital fund; New York, NY)",No,"None (or less than $1,001)",Capital Gains,"$201 - $1,000"
Kushner NE278e,27,U.S. money market account #3 (cash),N/A,"$1,000,001 - $5,000,000",Interest,"$201 - $1,000"
Kushner NE278e,28,U.S. bank account #3 (cash),N/A,"$50,001 - $100,000",,None (or less than $201)
Kushner NE278e,29,U.S. money market account #4 (cash),N/A,"$1,001 - $15,000",,None (or less than $201)
Kushner NE278e,30,U.S. bank account #4 (cash),N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,31,U.S. bank account #5 (cash),N/A,"$1,001 - $15,000",,None (or less than $201)
Kushner NE278e,32,U.S. bank account #6 (cash),N/A,"$100,001 - $250,000",Interest,"$201 - $1,000"
Kushner NE278e,33,U.S. bank account #7 (cash),N/A,"$250,001 - $500,000",,None (or less than $201)
Kushner NE278e,34,"Pepsico, Inc. (28 shares)",N/A,"$1,001 - $15,000",,None (or less than $201)
Kushner NE278e,35,"Yum Brands, Inc. (8 shares)",N/A,"None (or less than $1,001)",,None (or less than $201)
Kushner NE278e,36,U.S. bank account #8 (cash),N/A,"$100,001 - $250,000",,None (or less than $201)
Kushner NE278e,,,,,,AMOUNT
Kushner NE278e,37,EATON VANCE ATLANTA CAP SMID CAP FUND CLASS I (EISMX),Yes,"$250,001 - $500,000",,"$5,001 - $15,000"
Kushner NE278e,38,ISHARES MSCI EAFE ETF (EFA),Yes,"$50,001 - $100,000",,None (or less than $201)
Kushner NE278e,39,OPPENHEIMER DEVELOPING MARKETS CLASS Y (ODVYX),Yes,"$250,001 - $500,000",,"$5,001 - $15,000"
Kushner NE278e,40,POWERSHARES S&P 500 LOW VOLATILITY PORTFOLIO ETF (SPLV),Yes,"$100,001 - $250,000",,"$15,001 - $50,000"
Kushner NE278e,41,THORNBURG INTL VALUE FUND I (TGVIX),Yes,"$500,001 - $1,000,000",,"$201 - $1,000"
Kushner NE278e,42,VANGUARD GROWTH ETF (VUG),Yes,"$250,001 - $500,000",,"$2,501 - $5,000"
Kushner NE278e,43,VANGUARD VALUE ETF (VTV),Yes,"$100,001 - $250,000",,"$1,001 - $2,500"
Kushner NE278e,44,VIRTUS SMALL-CAP  CORE FUND CLASS I (PKSFX),Yes,"$100,001 - $250,000",,"$5,001 - $15,000"
Kushner NE278e,45,HARTFORD WORLD BOND FUND I (HWDIX),Yes,"$250,001 - $500,000",,None (or less than $201)
Kushner NE278e,46,LORD ABBETT INTERMEDIATE TAX FREE FUND CLASS F (LISFX),Yes,"$1,000,001 - $5,000,000",,"$15,001 - $50,000"
Kushner NE278e,47,LORD ABBETT HIGH YIELD FUND CLASS F (LHYFX),Yes,"$250,001 - $500,000",,"$15,001 - $50,000"
Kushner NE278e,48,RIVERNORTH/DOUBLELINE STRATEGIC INCOME FUND I (RNSIX),Yes,"$100,001 - $250,000",,"$5,001 - $15,000"
Kushner NE278e,49,TEMPLETON GLOBAL BOND ADV (TGBAX),Yes,"$100,001 - $250,000",,"$2,501 - $5,000"
Kushner NE278e,50,VANGUARD TOTAL BOND MKT ETF (BND),Yes,"$100,001 - $250,000",,None (or less than $201)
Kushner NE278e,51,WELLS FARGO INTERMEDIATE TAX/AMTFREE FUND CLASS INST (WITIX),Yes,"$1,000,001 - $5,000,000",,"$15,001 - $50,000"
Kushner NE278e,52,VAN ECK CM COMMODITY INDEX FUND Y (CMCYX),Yes,"$250,001 - $500,000",,"$15,001 - $50,000"
Kushner NE278e,,,,,,AMOUNT
Kushner NE278e,53,U.S. bank account #9 (cash),N/A,"$1,001 - $15,000",,None (or less than $201)
Kushner NE278e,54,Blackstone Strategic Alliance Fund II LP,Yes,"$250,001 - $500,000",,"$100,001 - $1,000,000"
Kushner NE278e,55,A&Q LONG/SHORT STRATEGIES FUND LLC PROMISSORY NOTE,N/A,"$1,001 - $15,000",,None (or less than $201)
Kushner NE278e,56,PIMCO RAE FUNDAMENTAL ADVANTAGE PLUS FUND CLASS P (PFATX),Yes,"None (or less than $1,001)",,"$2,501 - $5,000"
Kushner NE278e,57,POWERSHARES S&P 500 DOWNSIDE HEDGED PORTFOLIO ETF (PHDG),Yes,"None (or less than $1,001)",,"$1,001 - $2,500"
Kushner NE278e,58,U.S. bank account #10 (cash),N/A,"$250,001 - $500,000",,None (or less than $201)
Kushner NE278e,59,EATON VANCE ATLANTA CAP   SMID CAP FUND CLASS I (EISMX),Yes,"$15,001 - $50,000",,"$201 - $1,000"
Kushner NE278e,60,SIGNATURE BANK NEW YORK NY,N/A,"None (or less than $1,001)",Capital Gains,"$15,001 - $50,000"
Kushner NE278e,61,PIMCO TOTAL RETURN FUND   CLASS P (PTTPX),Yes,"$50,001 - $100,000",,"$1,001 - $2,500"
Kushner NE278e,62,FIRST EAGLE GLOBAL FUNDS CLASS I (SGIIX),Yes,"$15,001 - $50,000",,"$5,001 - $15,000"
Kushner NE278e,63,U.S. bank account #11 (cash),N/A,"$1,001 - $15,000",,None (or less than $201)
Kushner NE278e,64,EATON VANCE ATLANTA CAP   SMID CAP FUND CLASS I (EISMX),Yes,"$15,001 - $50,000",,None (or less than $201)
Kushner NE278e,65,SIGNATURE BANK NEW YORK  NY,N/A,"None (or less than $1,001)",Capital Gains,"$15,001 - $50,000"
Kushner NE278e,66,PIMCO TOTAL RETURN FUND CLASS P (PTTPX),Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
Kushner NE278e,67,FIRST EAGLE GLOBAL FUNDS CLASS I (SGIIX),Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
Kushner NE278e,68,PRINCIPAL SM-MD CP DIV P (PMDPX),Yes,"$1,001 - $15,000",,None (or less than $201)
Kushner NE278e,,,,,,AMOUNT
Kushner NE278e,69,SIGNATURE BANK NEW YORK  NY,N/A,"None (or less than $1,001)",Capital Gains,"$5,001 - $15,000"
Kushner NE278e,70,PIMCO TOTAL RETURN FUND  CLASS P (PTTPX),Yes,"$1,001 - $15,000",,None (or less than $201)
Kushner NE278e,71,FIRST EAGLE GLOBAL FUNDS CLASS I (SGIIX),Yes,"$1,001 - $15,000",,None (or less than $201)
Kushner NE278e,72,EuroPacific Growth Fund - 529-A (1016) (CEUAX),Yes,"$50,001 - $100,000",,None (or less than $201)
Kushner NE278e,73,Washington Mutual Investors Fund - 529-A (1001) (CWMAX),Yes,"$100,001 - $250,000",,None (or less than $201)
Kushner NE278e,74,EuroPacific Growth Fund - 529-A (1016) (CEUAX),Yes,"$50,001 - $100,000",,None (or less than $201)
Kushner NE278e,75,Washington Mutual Investors Fund - 529-A (1001) (CWMAX),Yes,"$100,001 - $250,000",,None (or less than $201)
Kushner NE278e,76,EuroPacific Growth Fund - 529-A (1016) (CEUAX),Yes,"$50,001 - $100,000",,None (or less than $201)
Kushner NE278e,77,Washington Mutual Investors Fund - 529-A (1001) (CWMAX),Yes,"$50,001 - $100,000",,None (or less than $201)
Kushner NE278e,78,"502 6G LLC (Residential Real Estate in New York, NY)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$100,001 - $1,000,000"
Kushner NE278e,79,"K MARYLAND ASSOCIATES, LLC (Residential Real Estate in Baltimore, Garrett & Prince George,  MD)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$100,001 - $1,000,000"
Kushner NE278e,80,"KUSHNER MIDWEST PARTNERS 1 LLC (Residential Real Estate in Toledo, Middletown, Akron & Bedford Heights, OH, Pittsburgh, PA & Speedway, IN)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$1,000,001 - $5,000,000"
Kushner NE278e,81,"Flatbush 340 Lender LLC (Loan Receivable from 9 Dekalb Owner LLC; Brooklyn, NY)",N/A,"$100,001 - $250,000",Interest,"$15,001 - $50,000"
Kushner NE278e,82,The Obsidian Fund LLC Class C,Yes,"$1,000,001 - $5,000,000",,"$100,001 - $1,000,000"
Kushner NE278e,83,Hennessy Gas Utility Index Fund Investor Class Shares (GASFX),Yes,"None (or less than $1,001)",,"$15,001 - $50,000"
Kushner NE278e,,,,,,AMOUNT
Kushner NE278e,84,ISHARES 20+ YEAR TREAS BOND ETF (TLT),Yes,"None (or less than $1,001)",,"$15,001 - $50,000"
Kushner NE278e,85,JP MORGAN CORE BOND FUND SELECT (WOBDX),Yes,"None (or less than $1,001)",,"$201 - $1,000"
Kushner NE278e,86,NUVEEN ENHANCED AMT-FREE MUNICIPAL CREDIT OPPORTUNITIES FUND (NVG),Yes,"None (or less than $1,001)",,"$5,001 - $15,000"
Kushner NE278e,87,PIMCO ENHANCED SHORT MAT ACTIVE ETF (MINT),Yes,"None (or less than $1,001)",,"$1,001 - $2,500"
Kushner NE278e,88,SIGNATURE BANK NEW YORK NY,N/A,"None (or less than $1,001)",Capital Gains,"$100,001 - $1,000,000"
Kushner NE278e,89,TEMPLETON GLOBAL INCOME FUND (GIM),Yes,"None (or less than $1,001)",,"$2,501 - $5,000"
Kushner NE278e,90,BOEING COMPANY,N/A,"None (or less than $1,001)",Capital Gains Dividends,"$201 - $1,000"
Kushner NE278e,91,DOMINION RESOURCES INC VA,N/A,"None (or less than $1,001)",Capital Gains Dividends,"$201 - $1,000"
Kushner NE278e,92,ISHARES MSCI EAFE ETF (EFA),Yes,"$1,001 - $15,000",,None (or less than $201)
Kushner NE278e,93,HOME DEPOT INC,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$201 - $1,000"
Kushner NE278e,94,MICROSOFT CORP,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$1,001 - $2,500"
Kushner NE278e,95,NEXTERA ENERGY INC,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$1,001 - $2,500"
Kushner NE278e,96,OPPENHEIMER DEVELOPING MARKETS (ODVYX),Yes,"$1,001 - $15,000",,None (or less than $201)
Kushner NE278e,97,ROCKWELL AUTOMATION INC,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$1,001 - $2,500"
Kushner NE278e,98,SCHLUMBERGER LTD NETHERLANDS ANTILLES,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$201 - $1,000"
Kushner NE278e,99,VANGUARD VALUE ETF (VTV),Yes,"$15,001 - $50,000",,None (or less than $201)
Kushner NE278e,,,,,,AMOUNT
Kushner NE278e,100,VANGUARD GROWTH ETF (VUG),Yes,"$15,001 - $50,000",,None (or less than $201)
Kushner NE278e,101,EATON VANCE GLOBAL MACRO ABSOLUTE RETURN ADV FUND (EGRIX),Yes,"None (or less than $1,001)",,"$201 - $1,000"
Kushner NE278e,102,BOEING COMPANY,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$1,001 - $2,500"
Kushner NE278e,103,DOMINION RESOURCES INC VA,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$201 - $1,000"
Kushner NE278e,104,HOME DEPOT INC,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$201 - $1,000"
Kushner NE278e,105,MICROSOFT CORP,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$1,001 - $2,500"
Kushner NE278e,106,NEXTERA ENERGY INC,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$1,001 - $2,500"
Kushner NE278e,107,OPPENHEIMER DEVELOPING MARKETS (ODVYX),Yes,"$15,001 - $50,000",,None (or less than $201)
